text,category,source
"손 씻기, 기침 예절 등 개인위생 수칙을 철저히 지켜 감염병을 예방해 주세요.",건강·안전,학교알리미_공공데이터
학생 자살·자해 예방교육이 11월 중 실시됩니다.,건강·안전,학교알리미_공공데이터
재난 대비 훈련이 6월 8일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
졸업식은 8월 18일(금) 오전 10시에 강당에서 거행됩니다.,일정,학교알리미_공공데이터
2학기 중간고사 일정은 7월 25일~28일입니다.,일정,학교알리미_공공데이터
학교생활기록부 기재 요령 안내 연수가 10월 8일에 실시됩니다.,일정,학교알리미_공공데이터
성폭력·성희롱 예방교육이 7월에 실시됩니다.,건강·안전,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 5월 15일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
시력 및 청력 검사가 3월에 실시될 예정이오니 안경 착용 학생은 지참 바랍니다.,건강·안전,학교알리미_공공데이터
졸업식은 5월 27일(금) 오전 10시에 강당에서 거행됩니다.,일정,학교알리미_공공데이터
2학기 중간고사 일정은 10월 7일~12일입니다.,일정,학교알리미_공공데이터
"졸업 앨범 제작비 20,000원을 4월 1일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
교내 CCTV 점검으로 인해 22일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
성홍열 감염 의심 시 즉시 병원 진료 후 담임 선생님께 연락 바랍니다.,건강·안전,학교알리미_공공데이터
학교 주변 공사로 인한 소음 및 안전사고 예방에 유의해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
"학부모 부담 경비 100,000원은 분할 납부가 가능합니다.",비용,학교알리미_공공데이터
"학교 발전기금 150,000원을 자율적으로 납부하실 수 있습니다.",비용,학교알리미_공공데이터
석면 안전관리 점검이 방학 중 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
수영 안전교육 이수 확인서를 7월 3일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
흡연 예방교육이 3월 중 실시될 예정이오니 학생들의 적극적인 참여를 바랍니다.,건강·안전,학교알리미_공공데이터
2학기 중간고사 일정은 9월 18일~19일입니다.,일정,학교알리미_공공데이터
학교폭력 예방 캠페인이 6월 20일에 실시됩니다.,일정,학교알리미_공공데이터
진로 체험의 날 행사가 11월 5일(화)에 예정되어 있습니다.,일정,학교알리미_공공데이터
학생 건강검진(구강검진 포함)이 7월 24일에 실시됩니다.,건강·안전,학교알리미_공공데이터
2026학년도 2학기 학사일정: 6월 8일 — 추석 연휴,일정,학교알리미_공공데이터
9월 학교 안전점검 실시로 24일~26일 체육관 이용이 제한됩니다.,건강·안전,학교알리미_공공데이터
학교폭력 예방교육이 3월 12일에 실시될 예정이니 참여를 부탁드립니다.,건강·안전,학교알리미_공공데이터
"학교 발전기금 200,000원을 자율적으로 납부하실 수 있습니다.",비용,학교알리미_공공데이터
2026학년도 학사일정: 6월 7일 ~ 12일 — 학기 중 방학,일정,학교알리미_공공데이터
11월 16일(월)부터 18일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
교내 CCTV 점검으로 인해 11일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
급식 식재료 원산지 정보는 식당 게시판에서 확인 가능합니다.,건강·안전,학교알리미_공공데이터
7월 학교 안전점검 실시로 27일~28일 체육관 이용이 제한됩니다.,건강·안전,학교알리미_공공데이터
"학부모 부담 경비 150,000원은 분할 납부가 가능합니다.",비용,학교알리미_공공데이터
교내 CCTV 점검으로 인해 12일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
노로바이러스 집단 감염 예방을 위해 손 씻기 등 개인위생을 철저히 지켜 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
졸업식은 3월 21일(금) 오전 10시에 강당에서 거행됩니다.,일정,학교알리미_공공데이터
교육비 지원(교육복지) 신청을 원하시는 분은 6월 24일까지 학교로 문의해 주세요.,비용,학교알리미_공공데이터
6월 18일은 학교 창립기념일로 재량휴업일입니다.,일정,학교알리미_공공데이터
1학기 중간고사는 9월 6일(월)부터 10일(목)까지입니다.,일정,학교알리미_공공데이터
급성 복통 또는 구토 증상이 있는 경우 즉시 보건실에 내원하거나 부모님께 연락 바랍니다.,건강·안전,학교알리미_공공데이터
수영 안전교육 이수 확인서를 9월 16일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
교원능력개발평가가 4월 14일부터 16일까지 실시됩니다.,일정,학교알리미_공공데이터
1학기 기말고사는 10월 2일(월)부터 4일(금)까지 실시됩니다.,일정,학교알리미_공공데이터
학교폭력 예방 캠페인이 8월 6일에 실시됩니다.,일정,학교알리미_공공데이터
학생 정신건강 선별검사가 6월에 실시됩니다.,건강·안전,학교알리미_공공데이터
교육비 지원(교육복지) 신청을 원하시는 분은 5월 10일까지 학교로 문의해 주세요.,비용,학교알리미_공공데이터
방과후학교 2기 수강 신청 기간은 8월 10일~13일입니다.,일정,학교알리미_공공데이터
학부모 상담 주간은 10월 4일~7일입니다.,일정,학교알리미_공공데이터
2026학년도 2학기 개학일은 9월 28일(월)입니다.,일정,학교알리미_공공데이터
수영 안전교육 이수 확인서를 4월 18일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
학교폭력 예방 캠페인이 11월 12일에 실시됩니다.,일정,학교알리미_공공데이터
수영 안전교육 이수 확인서를 10월 11일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
학교 운영위원회 회의가 4월 17일(수) 오후 4시에 열립니다.,일정,학교알리미_공공데이터
학교 운영위원회 회의가 9월 22일(수) 오후 4시에 열립니다.,일정,학교알리미_공공데이터
수학여행은 10월 17일(수)부터 21일(금)까지 2박 3일 일정으로 진행됩니다.,일정,학교알리미_공공데이터
수영 안전교육 이수 확인서를 3월 9일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
자유학기(학년)제 주제 선택 활동이 10월 8일부터 매주 수요일 운영됩니다.,일정,학교알리미_공공데이터
학교폭력 예방 캠페인이 3월 2일에 실시됩니다.,일정,학교알리미_공공데이터
수영 안전교육 이수 확인서를 9월 15일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
백일해 의심 증상 발생 시 즉시 의료기관을 방문해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
10월 21일은 학교 창립기념일로 재량휴업일입니다.,일정,학교알리미_공공데이터
수학여행은 5월 20일(수)부터 21일(금)까지 2박 3일 일정으로 진행됩니다.,일정,학교알리미_공공데이터
입학식은 6월 10일(화) 오전 10시 30분에 체육관에서 실시됩니다.,일정,학교알리미_공공데이터
진로 체험의 날 행사가 11월 7일(화)에 예정되어 있습니다.,일정,학교알리미_공공데이터
현장체험학습은 8월 23일(화) 오전 8시 50분에 출발합니다.,일정,학교알리미_공공데이터
"수학여행비 150,000원은 3월 7일까지 납부 바랍니다.",비용,학교알리미_공공데이터
7월 23일(월)부터 25일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
교육비 지원(교육복지) 신청을 원하시는 분은 10월 20일까지 학교로 문의해 주세요.,비용,학교알리미_공공데이터
진로 체험의 날 행사가 4월 19일(화)에 예정되어 있습니다.,일정,학교알리미_공공데이터
학생 건강검진(구강검진 포함)이 7월 25일에 실시됩니다.,건강·안전,학교알리미_공공데이터
수영 안전교육 이수 확인서를 7월 16일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
"현장체험학습 참가비 3,000원을 10월 12일까지 스쿨뱅킹으로 납부해 주세요.",비용,학교알리미_공공데이터
재난 대비 훈련이 5월 3일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
교통안전 교육이 7월 19일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
수학여행은 5월 25일(수)부터 27일(금)까지 2박 3일 일정으로 진행됩니다.,일정,학교알리미_공공데이터
교육비 지원(교육복지) 신청을 원하시는 분은 9월 11일까지 학교로 문의해 주세요.,비용,학교알리미_공공데이터
2026학년도 1학기 방학식은 10월 23일(금)에 실시됩니다.,일정,학교알리미_공공데이터
교내 CCTV 점검으로 인해 8일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
"학교 발전기금 5,000원을 자율적으로 납부하실 수 있습니다.",비용,학교알리미_공공데이터
2026학년도 1학기 학사일정: 3월 19일 — 봄 소풍(현장체험학습),일정,학교알리미_공공데이터
학교 운동회(체육대회)는 3월 12일(목) 오전 9시에 운동장에서 개최됩니다.,일정,학교알리미_공공데이터
교내 CCTV 점검으로 인해 10일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
학예회는 10월 21일(토) 오전 10시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
어린이 통학로 안전점검 결과를 학교 홈페이지에 공지하오니 확인해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
학생 자살·자해 예방교육이 9월 중 실시됩니다.,건강·안전,학교알리미_공공데이터
8월 8일(토) 오전 10시에 학부모 총회가 개최됩니다.,일정,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 4월 24일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
교원능력개발평가가 11월 10일부터 11일까지 실시됩니다.,일정,학교알리미_공공데이터
2026학년도 1학기 방학식은 4월 2일(금)에 실시됩니다.,일정,학교알리미_공공데이터
수영 안전교육 이수 확인서를 9월 10일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
"교복 구매 지원금 150,000원이 학부모 계좌로 6월 중 지급될 예정입니다.",비용,학교알리미_공공데이터
2026학년도 학사일정: 8월 23일 ~ 27일 — 학기 중 방학,일정,학교알리미_공공데이터
3월 학교 안전점검 실시로 3일~7일 체육관 이용이 제한됩니다.,건강·안전,학교알리미_공공데이터
2026학년도 1학기 학사일정: 11월 16일 — 봄 소풍(현장체험학습),일정,학교알리미_공공데이터
학생 정신건강 선별검사가 10월에 실시됩니다.,건강·안전,학교알리미_공공데이터
졸업식은 10월 21일(금) 오전 10시에 강당에서 거행됩니다.,일정,학교알리미_공공데이터
인플루엔자(독감) 유행 시기에 발열 증상이 있는 경우 등교를 자제해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
동아리 활동 발표회가 5월 17일(금) 오후 1시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 7월 20일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
학부모 상담 주간은 6월 11일~16일입니다.,일정,학교알리미_공공데이터
HPV(자궁경부암) 예방접종 2차 접종 일정을 보건실에서 확인해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
"방과후학교 수강료 10,000원을 9월 26일까지 학교 계좌로 입금 바랍니다.",비용,학교알리미_공공데이터
학교 운동회(체육대회)는 7월 28일(목) 오전 9시에 운동장에서 개최됩니다.,일정,학교알리미_공공데이터
2026학년도 1학기 학사일정: 10월 6일 — 봄 소풍(현장체험학습),일정,학교알리미_공공데이터
공개수업 참관일은 7월 18일(목) 오전 10시~11시입니다.,일정,학교알리미_공공데이터
생존수영 교육 시 안전을 위해 튜브 착용이 필수입니다.,건강·안전,학교알리미_공공데이터
식품 알레르기 유발 성분 14가지 중 해당 항목이 있는 학생은 영양 선생님께 알려 주세요.,건강·안전,학교알리미_공공데이터
자유학기(학년)제 주제 선택 활동이 6월 26일부터 매주 수요일 운영됩니다.,일정,학교알리미_공공데이터
성폭력·성희롱 예방교육이 3월에 실시됩니다.,건강·안전,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 11월 16일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
교육과정 설명회가 7월 2일(화) 오후 7시에 강당에서 열립니다.,일정,학교알리미_공공데이터
학교 운영위원회 회의가 8월 14일(수) 오후 4시에 열립니다.,일정,학교알리미_공공데이터
"방과후학교 수강료 3,000원을 11월 10일까지 학교 계좌로 입금 바랍니다.",비용,학교알리미_공공데이터
"졸업 앨범 제작비 20,000원을 4월 3일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
학교폭력 예방 캠페인이 7월 19일에 실시됩니다.,일정,학교알리미_공공데이터
동아리 활동 발표회가 3월 8일(금) 오후 1시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
2026학년도 2학기 학사일정: 11월 10일 — 추석 연휴,일정,학교알리미_공공데이터
학교폭력 예방교육이 4월 26일에 실시될 예정이니 참여를 부탁드립니다.,건강·안전,학교알리미_공공데이터
오존 주의보 발령 시 야외 수업 및 체육 활동이 제한될 수 있습니다.,건강·안전,학교알리미_공공데이터
학교 소방 훈련이 4월 19일(월) 오전 10시에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
학생 건강검진(구강검진 포함)이 10월 4일에 실시됩니다.,건강·안전,학교알리미_공공데이터
2026학년도 1학기 학사일정: 9월 19일 — 봄 소풍(현장체험학습),일정,학교알리미_공공데이터
시력 및 청력 검사가 6월에 실시될 예정이오니 안경 착용 학생은 지참 바랍니다.,건강·안전,학교알리미_공공데이터
1학기 중간고사는 8월 4일(월)부터 5일(목)까지입니다.,일정,학교알리미_공공데이터
다자녀 가정 학생은 방과후학교 수강료가 50% 감면됩니다.,비용,학교알리미_공공데이터
독서의 달 행사: 5월 한 달간 도서관에서 독서 마라톤 행사가 진행됩니다.,일정,학교알리미_공공데이터
"졸업 앨범 제작비 50,000원을 5월 24일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
2026학년도 2학기 학사일정: 8월 16일 — 추석 연휴,일정,학교알리미_공공데이터
2026학년도 1학기 학사일정: 7월 21일 — 봄 소풍(현장체험학습),일정,학교알리미_공공데이터
2026학년도 1학기 방학식은 7월 7일(금)에 실시됩니다.,일정,학교알리미_공공데이터
2026학년도 1학기 학사일정: 5월 15일 — 재량휴업일,일정,학교알리미_공공데이터
졸업식은 8월 5일(금) 오전 10시에 강당에서 거행됩니다.,일정,학교알리미_공공데이터
교육과정 설명회가 8월 21일(화) 오후 7시에 강당에서 열립니다.,일정,학교알리미_공공데이터
교내 CCTV 점검으로 인해 23일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
학교 운영위원회 회의가 7월 12일(수) 오후 4시에 열립니다.,일정,학교알리미_공공데이터
흡연 예방교육이 8월 중 실시될 예정이오니 학생들의 적극적인 참여를 바랍니다.,건강·안전,학교알리미_공공데이터
학예회는 9월 16일(토) 오전 10시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
"2026학년도 1학기 급식비는 70,000원이며 8월 9일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
교통안전 교육이 5월 25일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
비만 예방 건강교육이 5월 6일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
"졸업 앨범 제작비 5,000원을 8월 12일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
재난 대비 훈련이 5월 24일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
"학교 교육활동 지원비 100,000원이 9월 13일에 지급됩니다.",비용,학교알리미_공공데이터
2026학년도 2학기 개학일은 8월 8일(월)입니다.,일정,학교알리미_공공데이터
"현장체험학습 참가비 3,000원을 3월 25일까지 스쿨뱅킹으로 납부해 주세요.",비용,학교알리미_공공데이터
진로 체험의 날 행사가 10월 5일(화)에 예정되어 있습니다.,일정,학교알리미_공공데이터
3월 1일(월)부터 4일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
"교복 구매 지원금 50,000원이 학부모 계좌로 4월 중 지급될 예정입니다.",비용,학교알리미_공공데이터
학교 운영위원회 회의가 7월 23일(수) 오후 4시에 열립니다.,일정,학교알리미_공공데이터
학생 정신건강 선별검사가 9월에 실시됩니다.,건강·안전,학교알리미_공공데이터
학생 자살·자해 예방교육이 3월 중 실시됩니다.,건강·안전,학교알리미_공공데이터
학부모 상담 주간은 9월 28일~33일입니다.,일정,학교알리미_공공데이터
독서의 달 행사: 7월 한 달간 도서관에서 독서 마라톤 행사가 진행됩니다.,일정,학교알리미_공공데이터
학교생활기록부 기재 요령 안내 연수가 4월 18일에 실시됩니다.,일정,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 3월 3일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
재난 대비 훈련이 4월 21일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
6월 2일(토) 오전 10시에 학부모 총회가 개최됩니다.,일정,학교알리미_공공데이터
학교폭력 예방교육이 9월 22일에 실시될 예정이니 참여를 부탁드립니다.,건강·안전,학교알리미_공공데이터
공개수업 참관일은 3월 3일(목) 오전 10시~11시입니다.,일정,학교알리미_공공데이터
"2026학년도 1학기 급식비는 10,000원이며 10월 15일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
3월 9일(토) 오전 10시에 학부모 총회가 개최됩니다.,일정,학교알리미_공공데이터
4월 11일(월)부터 14일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
"교복 구매 지원금 30,000원이 학부모 계좌로 3월 중 지급될 예정입니다.",비용,학교알리미_공공데이터
"방과후학교 수강료 50,000원을 7월 26일까지 학교 계좌로 입금 바랍니다.",비용,학교알리미_공공데이터
2026학년도 학사일정: 7월 24일 ~ 28일 — 학기 중 방학,일정,학교알리미_공공데이터
일본뇌염 예방접종 완료 여부를 보건수첩에서 확인하여 미완료 시 접종 바랍니다.,건강·안전,학교알리미_공공데이터
"2026학년도 1학기 급식비는 200,000원이며 10월 18일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
"현장체험학습 참가비 3,000원을 11월 14일까지 스쿨뱅킹으로 납부해 주세요.",비용,학교알리미_공공데이터
공개수업 참관일은 8월 19일(목) 오전 10시~11시입니다.,일정,학교알리미_공공데이터
학교 소방 훈련이 4월 25일(월) 오전 10시에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
2026학년도 학사일정: 11월 8일 ~ 10일 — 학기 중 방학,일정,학교알리미_공공데이터
수업 공개의 날은 6월 27일(목)이며 오전 1~4교시 수업을 공개합니다.,일정,학교알리미_공공데이터
"학교 교육활동 지원비 200,000원이 6월 10일에 지급됩니다.",비용,학교알리미_공공데이터
1학기 기말고사는 4월 22일(월)부터 26일(금)까지 실시됩니다.,일정,학교알리미_공공데이터
방과후학교 2기 수강 신청 기간은 8월 17일~21일입니다.,일정,학교알리미_공공데이터
교통안전 교육이 10월 15일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
비만 예방 건강교육이 6월 16일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
수학여행은 9월 17일(수)부터 18일(금)까지 2박 3일 일정으로 진행됩니다.,일정,학교알리미_공공데이터
공개수업 참관일은 10월 10일(목) 오전 10시~11시입니다.,일정,학교알리미_공공데이터
5월 5일(토) 오전 10시에 학부모 총회가 개최됩니다.,일정,학교알리미_공공데이터
재난 대비 훈련이 8월 10일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
10월 학교 안전점검 실시로 5일~10일 체육관 이용이 제한됩니다.,건강·안전,학교알리미_공공데이터
학생 정신건강 선별검사가 3월에 실시됩니다.,건강·안전,학교알리미_공공데이터
2학기 중간고사 일정은 5월 17일~20일입니다.,일정,학교알리미_공공데이터
재난 대비 훈련이 11월 12일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
현장체험학습은 11월 9일(화) 오전 8시 50분에 출발합니다.,일정,학교알리미_공공데이터
동아리 활동 발표회가 5월 9일(금) 오후 1시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
학교폭력 예방교육이 4월 17일에 실시될 예정이니 참여를 부탁드립니다.,건강·안전,학교알리미_공공데이터
학예회는 7월 21일(토) 오전 10시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
폐렴구균 예방접종 미완료 영유아 학부모께서는 가까운 보건소를 방문해 주세요.,건강·안전,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 6월 22일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
수학여행은 4월 10일(수)부터 14일(금)까지 2박 3일 일정으로 진행됩니다.,일정,학교알리미_공공데이터
교내 CCTV 점검으로 인해 21일 오전 중 녹화가 일시 중단됩니다.,건강·안전,학교알리미_공공데이터
수학여행은 4월 15일(수)부터 19일(금)까지 2박 3일 일정으로 진행됩니다.,일정,학교알리미_공공데이터
수업 공개의 날은 6월 15일(목)이며 오전 1~4교시 수업을 공개합니다.,일정,학교알리미_공공데이터
방과후학교 2기 수강 신청 기간은 8월 14일~15일입니다.,일정,학교알리미_공공데이터
"현장체험학습 참가비 70,000원을 10월 22일까지 스쿨뱅킹으로 납부해 주세요.",비용,학교알리미_공공데이터
현장체험학습은 8월 27일(화) 오전 8시 50분에 출발합니다.,일정,학교알리미_공공데이터
자유학기(학년)제 주제 선택 활동이 7월 1일부터 매주 수요일 운영됩니다.,일정,학교알리미_공공데이터
1학기 중간고사는 5월 18일(월)부터 21일(목)까지입니다.,일정,학교알리미_공공데이터
학생 건강검진(구강검진 포함)이 10월 23일에 실시됩니다.,건강·안전,학교알리미_공공데이터
재난 대비 훈련이 5월 20일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
교육과정 설명회가 5월 21일(화) 오후 7시에 강당에서 열립니다.,일정,학교알리미_공공데이터
보건실 운영 시간은 평일 오전 8시 30분~오후 5시입니다.,건강·안전,학교알리미_공공데이터
A형 간염 예방접종을 완료하지 않은 경우 가까운 보건소를 방문해 무료접종을 받으시기 바랍니다.,건강·안전,학교알리미_공공데이터
학교폭력 예방 캠페인이 8월 26일에 실시됩니다.,일정,학교알리미_공공데이터
2026학년도 2학기 학사일정: 7월 25일 — 추석 연휴,일정,학교알리미_공공데이터
현장체험학습은 7월 6일(화) 오전 8시 50분에 출발합니다.,일정,학교알리미_공공데이터
유행성 결막염 발생 시 완치 확인 후 등교 가능합니다.,건강·안전,학교알리미_공공데이터
학생 정신건강 선별검사가 11월에 실시됩니다.,건강·안전,학교알리미_공공데이터
학교 소방 훈련이 6월 5일(월) 오전 10시에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
입학식은 7월 4일(화) 오전 10시 30분에 체육관에서 실시됩니다.,일정,학교알리미_공공데이터
"방과후학교 수강료 20,000원을 3월 17일까지 학교 계좌로 입금 바랍니다.",비용,학교알리미_공공데이터
2026학년도 1학기 학사일정: 8월 14일 — 재량휴업일,일정,학교알리미_공공데이터
2026학년도 1학기 학사일정: 3월 20일 — 봄 소풍(현장체험학습),일정,학교알리미_공공데이터
2026학년도 4학년 대상 수두·MMR 예방접종 확인서를 6월 23일까지 담임 선생님께 제출해 주십시오.,건강·안전,학교알리미_공공데이터
학교 소방 훈련이 8월 6일(월) 오전 10시에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
2학기 중간고사 일정은 9월 11일~14일입니다.,일정,학교알리미_공공데이터
수업 공개의 날은 9월 17일(목)이며 오전 1~4교시 수업을 공개합니다.,일정,학교알리미_공공데이터
홍역 예방을 위해 MMR 예방접종 2회 완료 여부를 확인해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
교육과정 설명회가 11월 16일(화) 오후 7시에 강당에서 열립니다.,일정,학교알리미_공공데이터
동아리 활동 발표회가 4월 4일(금) 오후 1시에 강당에서 개최됩니다.,일정,학교알리미_공공데이터
학교폭력 예방교육이 8월 21일에 실시될 예정이니 참여를 부탁드립니다.,건강·안전,학교알리미_공공데이터
2026학년도 2학기 개학일은 3월 21일(월)입니다.,일정,학교알리미_공공데이터
10월 21일(월)부터 26일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
"졸업 앨범 제작비 200,000원을 5월 13일까지 납부해 주시기 바랍니다.",비용,학교알리미_공공데이터
시력 및 청력 검사가 9월에 실시될 예정이오니 안경 착용 학생은 지참 바랍니다.,건강·안전,학교알리미_공공데이터
6월 26일(월)부터 27일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
교원능력개발평가가 4월 5일부터 6일까지 실시됩니다.,일정,학교알리미_공공데이터
3월 학교 안전점검 실시로 13일~16일 체육관 이용이 제한됩니다.,건강·안전,학교알리미_공공데이터
"수학여행비 50,000원은 5월 25일까지 납부 바랍니다.",비용,학교알리미_공공데이터
1학기 중간고사는 7월 26일(월)부터 27일(목)까지입니다.,일정,학교알리미_공공데이터
현장체험학습은 4월 9일(화) 오전 8시 50분에 출발합니다.,일정,학교알리미_공공데이터
b형 헤모필루스 인플루엔자(Hib) 예방접종 일정을 확인하시기 바랍니다.,건강·안전,학교알리미_공공데이터
풍진 예방접종 미완료 학생은 보건실에서 접종 확인서를 제출해 주시기 바랍니다.,건강·안전,학교알리미_공공데이터
재난 대비 훈련이 5월 6일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
학교 소방 훈련이 3월 10일(월) 오전 10시에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
1학기 중간고사는 8월 22일(월)부터 25일(목)까지입니다.,일정,학교알리미_공공데이터
10월 학교 안전점검 실시로 11일~14일 체육관 이용이 제한됩니다.,건강·안전,학교알리미_공공데이터
교통안전 교육이 7월 15일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
1학기 기말고사는 3월 5일(월)부터 10일(금)까지 실시됩니다.,일정,학교알리미_공공데이터
"학교 발전기금 15,000원을 자율적으로 납부하실 수 있습니다.",비용,학교알리미_공공데이터
재난 대비 훈련이 6월 11일(수) 오전 10시에 실시됩니다.,건강·안전,학교알리미_공공데이터
