text,category
가정에서도 공동체 약속을 꾸준히 실천해 주시기 바랍니다.,기타
우리 학교 급식 식단표는 매월 홈페이지에 공개됩니다.,기타
학교 소식지를 정기적으로 발송해 드리겠습니다.,기타
자녀의 학교생활에 관심을 기울여 주시기 바랍니다.,기타
서울특별시강서양천교육지원청 학교통합지원센터 운영 안내,기타
자살예방상담전화 109로 언제든지 연락 주세요.,기타
다들어줄게 어플을 통해 상담을 받으실 수 있습니다.,기타
청소년상담전화 1388로 연락하시면 도움받으실 수 있습니다.,기타
학교생활 적응에 어려움이 있으시면 언제든 연락주세요.,기타
재능기부 자원봉사자를 모집합니다.,기타
학부모회 임원을 모집하오니 많은 참여 바랍니다.,기타
학교 환경 개선을 위한 의견을 제출해 주세요.,기타
교내 사진 촬영 시 사전 허가를 받아주세요.,기타
본 가정통신문은 학교 홈페이지에서도 확인 가능합니다.,기타
2025학년도 갈산초등학교 연간 행사 일정을 안내드립니다.,기타
도서관 이용 시 지정된 좌석을 사용해 주시기 바랍니다.,기타
학교 급식에 대한 의견을 급식모니터링단에 알려주세요.,기타
교육청 교원 행동강령을 안내드립니다.,기타
학교 운영위원회 회의 결과를 공지해 드립니다.,기타
방과후학교 프로그램 일정 변경을 안내드립니다.,기타
