text,category,split
학교 자체 급식일에는 비용이 발생하지 않습니다.,비용,train
저소득 가정 교육비 지원 신청서를 3월 말까지 제출해 주세요.,비용,train
교복 구입비를 지원받으려면 담임선생님께 신청해 주세요.,비용,test
아이가 아플 경우 반드시 학교에 연락해 주시기 바랍니다.,건강·안전,train
결석 시 출석 확인서와 의사 소견서를 첨부해 주세요.,건강·안전,train
발열·기침 증상이 있는 경우 등교를 자제해 주세요.,건강·안전,train
인플루엔자 예방접종을 10월 31일까지 완료해 주세요.,건강·안전,train
등하교 시 꼭 손을 씻도록 지도해 주세요.,건강·안전,train
체육 활동 후 충분한 수분 보충을 권장합니다.,건강·안전,train
학교 내 안전사고 예방을 위해 복도에서 뛰지 않도록 지도해 주세요.,건강·안전,test
황사·미세먼지 주의보 시 마스크를 착용하게 해주세요.,건강·안전,train
전염병 예방을 위해 개인위생 관리에 협조 부탁드립니다.,건강·안전,train
학생 건강 자가진단 앱을 매일 아침 시행해 주세요.,건강·안전,val
코로나19 확진 시 즉시 학교에 알려주시기 바랍니다.,건강·안전,train
식품 알레르기 학생은 급식실 직원에게 사전 안내해 주세요.,건강·안전,test
온열 질환 예방을 위해 물을 충분히 마시게 해주세요.,건강·안전,val
교통안전 교육 결과를 가정에서도 복습시켜 주세요.,건강·안전,train
소화기 사용법과 대피 방법을 자녀에게 알려주세요.,건강·안전,train
버스 탑승 시 안전벨트를 꼭 착용하도록 지도해 주세요.,건강·안전,train
수영 수업 전 준비운동을 철저히 하도록 안내해 주세요.,건강·안전,train
자전거 이용 시 헬멧 착용을 의무화합니다.,건강·안전,train
학교 주변 교통안전 지도에 협조해 주시기 바랍니다.,건강·안전,train
감염병 예방을 위한 환경부 지침을 준수해 주세요.,건강·안전,val
아이의 규칙적인 수면과 균형 잡힌 식사를 도와주세요.,건강·안전,train
결석 2일 이상 시 담임선생님께 반드시 연락 바랍니다.,건강·안전,train
예방접종 기록을 학교에 제출해 주시기 바랍니다.,건강·안전,train
지진 대피 훈련이 5월 21일(수) 10시에 실시됩니다.,건강·안전,train
안전한 학교생활을 위해 교내 금지 물품을 반입하지 말아 주세요.,건강·안전,train
우리 학교는 다문화 가정을 환영하고 적극 지원합니다.,기타,test
학교 홈페이지 공지사항을 수시로 확인해 주세요.,기타,train
궁금한 사항은 담임선생님께 문의해 주세요.,기타,train
교육활동에 항상 관심 가져주셔서 감사합니다.,기타,train
학교 교육방침에 협조해 주심에 감사드립니다.,기타,test
가정에서도 공동체 약속을 꾸준히 실천해 주시기 바랍니다.,기타,train
우리 학교 급식 식단표는 매월 홈페이지에 공개됩니다.,기타,train
학교 소식지를 정기적으로 발송해 드리겠습니다.,기타,val
자녀의 학교생활에 관심을 기울여 주시기 바랍니다.,기타,train
서울특별시강서양천교육지원청 학교통합지원센터 운영 안내,기타,train
자살예방상담전화 109로 언제든지 연락 주세요.,기타,test
다들어줄게 어플을 통해 상담을 받으실 수 있습니다.,기타,train
청소년상담전화 1388로 연락하시면 도움받으실 수 있습니다.,기타,train
학교생활 적응에 어려움이 있으시면 언제든 연락주세요.,기타,train
재능기부 자원봉사자를 모집합니다.,기타,train
학부모회 임원을 모집하오니 많은 참여 바랍니다.,기타,train
학교 환경 개선을 위한 의견을 제출해 주세요.,기타,train
교내 사진 촬영 시 사전 허가를 받아주세요.,기타,val
본 가정통신문은 학교 홈페이지에서도 확인 가능합니다.,기타,val
2025학년도 갈산초등학교 연간 행사 일정을 안내드립니다.,기타,train
도서관 이용 시 지정된 좌석을 사용해 주시기 바랍니다.,기타,train
학교 급식에 대한 의견을 급식모니터링단에 알려주세요.,기타,train
교육청 교원 행동강령을 안내드립니다.,기타,train
학교 운영위원회 회의 결과를 공지해 드립니다.,기타,train
방과후학교 프로그램 일정 변경을 안내드립니다.,기타,train
"학생이 의사의 진단을 통해 대기오염 관련 기저질환(천식, 알레르기, 아토피, 호흡기질환, 심혈관 질환 등)이 있는 경우, 학부모께서는 해당 질환에 대한 의사의 진단서 또는 의견서(의사 소견서, 진료확인서 등)를 담임 선생님께 제출해 주시기 바랍니다.",제출,train
학기초 1회 제출하며 대기오염과 유관성이 드러나는 의사 소견 또는 향후 치료 의견을 명시한다.,제출,train
"의사소견서 및 진단서를 사전 제출한 경우, 등교시간대 거주지 또는 학교 주변 실시간 미세먼지 농도가 '나쁨' 이상일 때 당일 수업 시작 시간(8시 50분) 이전에 학부모가 학교에 사전 연락한 경우 질병결석으로 인정된다.",건강·안전,train
이런 경우 5일 이내에 결석계를 제출하여 주시기를 바랍니다.,제출,val
"가정에서도 자녀가 안심벨을 올바르게 착용하고, 실제 위급한 상황에서만 사용할 수 있도록 함께 지도하여 주시기 바랍니다.",건강·안전,train
실제 위급 상황에서만 사용하도록 지도해주세요.,건강·안전,train
경고음이 매우 크므로 장난 사용에 주의해주세요.,건강·안전,train
가방 어깨끈 등 손이 잘 닿는 곳에 부착해주세요.,준비물,val
"미사용 시 대기 시간은 약 2년이나, 아이 안전을 위해 2~3개월마다 충전을 권장합니다.",준비물,train
교외체험학습은 체험일 3일 전에 담임교사에게 신청서를 제출해야 한다.,제출,train
체험학습 후 7일 이내에 보고서를 제출해야 출석인정 처리됩니다.,제출,train
신청서 및 보고서는 2026년 양식으로 제출하며 홈페이지 및 학교종이에 탑재되어 있습니다.,제출,train
"연속 5일을 초과하여 실시하는 경우, 학생 안전을 위해 기간 중 1회 이상 학생이 담임교사에게 연락해야 합니다.",건강·안전,train
"질병결석이 2일 이내인 경우 결석신고서와 증빙자료(학부모 의견서, 처방전, 담임교사 확인서)를 5일 이내에 제출합니다.",제출,train
"질병결석이 3일 이상인 경우 결석신고서와 증빙자료(병명, 진료기간 기록이 나타난 의사의 진단서 또는 의사 소견서, 진료 확인서 등)를 5일 이내에 제출합니다.",제출,train
경조사 결석 시 결석신고서와 증빙자료(청첩장 등)를 제출합니다.,제출,train
"법정감염병(수두, 홍역 등) 결석 시 결석신고서와 증빙자료(법정감염병명과 기간이 표시된 증빙 서류 — 의사소견서, 진료확인서, 의사진단서 등)를 제출합니다.",제출,train
등교시간은 8시 30분~8시 45분까지이며 안전상의 문제로 8시 30분보다 일찍 등교하지 않도록 합니다.,일정,train
1학기 학부모 상담주간은 4월 13일~4월 24일에 운영되며 대면 상담 및 전화 상담이 가능합니다.,일정,train
"환절기와 미세먼지로 인해 감기에 걸린 학생이 많으므로 개인위생에 유의하고, 미세먼지가 나쁨 이상일 때에는 마스크를 착용합니다.",건강·안전,train
독서 생활은 매주 1편 이상 정성껏 작성해서 월요일에 제출합니다.,제출,train
창체 시간 준비물로 희망편지를 화요일까지 제출합니다.,제출,train
음악 수업 준비물로 리코더(독일식)를 준비하고 리코더 연습을 합니다.,준비물,train
월요일 준비물은 독서록과 희망편지입니다.,준비물,train
"화요일 준비물은 희망편지, 간편복, 운동화입니다.",준비물,train
수요일 준비물은 리코더입니다.,준비물,val
"목요일 준비물은 리코더, 간편복, 운동화입니다.",준비물,train
3학년 합동 체육은 3월 24일(금) 5교시 체육관에서 실시되며 학급티 및 간편한 복장을 착용합니다.,일정,train
"디벗 사용을 위해 개인용 이어폰(3.5mm, C타입)을 월요일까지 준비합니다.",준비물,train
나눔장터는 4월 30일(목) 8:50~10:30에 본교 각 층 복도에서 진행됩니다.,일정,train
"나눔장터 준비물은 학급티, 1인용 돗자리, 판매할 물건, 구입비(5000원 이내의 잔돈), 지갑, 천으로 된 장바구니입니다.",준비물,train
나눔장터 구입비는 5000원 이내의 잔돈으로 준비합니다.,비용,train
"나눔장터에서 판매금지 물건은 생물, 먹거리(식중독 위험), 5만원 이상 고가의 물품, 너무 낡은 것, 저작권 위반 물품, 청소년에게 유해한 물품(칼, 비비탄 총 등의 완구류, 화장품류) 등이다.",준비물,train
"나눔장터 가격은 100원~3000원(100원 단위)으로 하며, 물건에 가격표를 부착하여 가져옵니다.",비용,train
"체육 수업 시 운동화 착용, 물 넉넉하게 준비하기를 합니다.",준비물,val
마스크 1장씩 가방에 넣고 다닙니다.,준비물,train
독서생활 과제는 매주 1~2편 이상 바른 글씨로 정성껏 작성해서 월요일에 제출합니다.,제출,train
윤독도서 '가정통신문 소동'을 4월 27일(월)까지 읽습니다.,제출,train
독서활동은 윤독도서(하룻밤)를 4월 27일(월)까지 읽고 독서활동에 기록합니다.,제출,train
국어 수행평가는 4월 27일에 '중심 문장과 뒷받침 문장을 갖추어 문단 쓰기'로 실시됩니다.,일정,train
월요일 준비물은 독서록과 리코더입니다.,준비물,train
"화요일 준비물은 간편복, 운동화, 줄넘기입니다.",준비물,train
목요일 준비물은 학급티와 나눔장터 물품입니다.,준비물,test
도서 구입 신청은 3월 27일(금) 12시까지 학교종이 설문으로 제출합니다.,제출,train
추천 도서는 1인당 5권 이내로 신청합니다.,제출,train
가정에서도 공동체 약속을 꾸준히 실천하여 모두가 행복한 우리 학교 문화 만들기에 동참해 주시기 바랍니다.,기타,train
학부모 약속으로 교사의 전문성을 믿고 존중하며 자녀가 바르게 성장할 수 있도록 함께 협력합니다.,기타,train
학부모 약속으로 아이와 교사를 믿고 지켜봅니다.,기타,train
학부모 약속으로 하루 한 번 칭찬하고 안아줍니다.,기타,train
"씩씩하게 도보로 통학하도록 지도해주시고, 부득이하게 자전거를 이용하는 학생들은 자신의 안전은 물론 타인의 안전까지 지킬 수 있도록 자전거 이용 수칙을 반드시 준수하도록 학부모님의 적극적인 지도와 협조를 부탁드립니다.",건강·안전,train
교문 앞 혼잡한 상황 및 학생들의 건강을 생각하시어 부득이한 상황(학생 다리 부상 등)이 아니면 차량 이용을 자제해주십시오.,건강·안전,test
"자전거 이용 시 안전모(헬멧)와 팔꿈치·무릎 보호대, 장갑 등 안전장비를 반드시 착용합니다.",건강·안전,train
"자전거를 미리 점검합니다(브레이크, 핸들, 안장, 타이어, 페달, 전조등 등).",건강·안전,train
횡단보도를 건널 때는 내려서 자전거를 끌고 건넙니다.,건강·안전,train
휴대전화를 사용하거나 이어폰(헤드셋)을 끼고 음악을 듣지 않습니다.,건강·안전,train
학교 앞까지 자전거를 가지고 오지 않으며 자전거 거치 장소에 올바르게 거치합니다.,건강·안전,train
13단지 쪽에서 통학할 경우 13단지 앞 사거리 자전거 거치 장소에 바르게 거치합니다.,건강·안전,val
14단지 쪽에서 통학할 경우 14단지 아파트 내 바르게 거치합니다.,건강·안전,train
전체적인 평가 일정과 내용을 확인하셔서 학교 교육공동체의 참여·소통·협력 활동을 통한 학교교육활동의 진단과 개선이 이루어질 수 있도록 동참하여 주시기 바랍니다.,기타,train
학교평가는 11월에 2026학년도 학교교육활동 평가 및 2027학년도 학교교육계획 수립 설문으로 진행됩니다.,일정,train
학교운영 및 회의 안건에 대하여 의견이 있으신 분은 학교메일(galsanes@sen.go.kr)로 의견 주시면 안건 심의 시 반영하도록 하겠습니다.,기타,train
"2학년은 3월 6일(금)에 읽기+쓰기, 셈하기 진단검사를 실시합니다.",일정,train
"3학년은 3월 5일(목)에 읽기, 쓰기, 셈하기 진단검사를 실시합니다.",일정,train
"4학년은 3월 5일(목)에 국어, 수학, 영어 진단검사를 실시합니다.",일정,train
"5학년은 3월 9일(월)에 국어, 수학, 영어 진단검사를 실시합니다.",일정,val
"6학년은 3월 5일(목)에 국어, 수학, 영어 진단검사를 실시합니다.",일정,train
"가정에서도 다음과 같은 사항을 함께 지도해 주시고, 이를 생활화할 수 있도록 지속적으로 지도해주시기 바랍니다.",건강·안전,test
집 근처에 있는 우범지역과 안전 사각지대를 파악하여 부모님과 약속한 안전한 길로 다닙니다.,건강·안전,train
등·하굣길에는 친구들과 함께 다닙니다.,건강·안전,train
이름과 전화번호는 절대로 알려주지 않습니다.,건강·안전,train
"모르는 사람이 주는 음료나 과자 등을 함부로 먹지 않으며, 물건 등을 준다고 유인해도 절대 따라가지 않습니다.",건강·안전,train
낯선 사람이 도움을 요청하면 정중하게 거절합니다.,건강·안전,train
위급한 상황에서는 큰소리로 도움을 요청하고 주변의 편의점이나 '아동안전지킴이집' 간판이 부착된 가게에 들어가 도움을 요청합니다.,건강·안전,train
"아이의 지문, 사진, 보호자 인적 사항 등을 미리 등록합니다(경찰서, 안전드림앱을 통해 등록 가능).",건강·안전,train
정기적으로 아이 사진을 찍습니다.,건강·안전,test
아이를 집에 혼자 두지 않고 항상 자녀와 함께 다닙니다.,건강·안전,train
"이름표, 미아방지 팔찌 등 실종아동 예방용품을 활용합니다.",준비물,train
아이가 실종된 경우 즉시 112에 신고합니다.,건강·안전,train
"미세먼지 농도가 '나쁨' 이상일 경우 어린이, 노인, 만성질환자 등 민감군은 실외 활동을 자제합니다.",건강·안전,train
"외부 활동 시 보건용 마스크를 착용하고, 돌아오자마자 씻어냅니다.",건강·안전,train
기상 상황을 수시로 확인합니다.,건강·안전,train
지역연계 체험학습이 내일(4월 8일 수요일)에 진행됩니다.,일정,train
"평소와 같은 시각에 등교, 하교, 학교에서 급식을 합니다.",일정,train
"준비물을 잘 챙겨옵니다: 학급티셔츠(속에 긴팔), 외투, 긴 바지, 운동화, 충분한 물, 통에 담은 약간의 간식, 1인용 돗자리, 비닐봉지 1장, 물티슈, 휴지, 필통, 모자(선택).",준비물,train
"준비물은 책가방에 넣어 이동하며, 더 편한 가방이 있으면 사용해도 됩니다.",준비물,train
보호자에게 안전교육 받고 다짐하고 옵니다.,건강·안전,val
"이동 시 주변을 잘 살피며, 뛰거나 장난을 치지 않습니다.",건강·안전,train
신호를 지키며 횡단보도로 안전하게 건넙니다.,건강·안전,val
야외활동에 맞는 몸가짐과 옷차림을 합니다.,준비물,train
높은 곳에 올라가거나 무리를 이탈하는 등 위험한 행동을 하지 않습니다.,건강·안전,train
자연환경을 훼손하는 행동을 하지 않습니다.,건강·안전,train
낯선 사람이 같이 가자고 할 때 절대 따라가지 않습니다.,건강·안전,test
"리코더, 간편복, 운동화를 준비합니다.",준비물,train
"개인용 이어폰(3.5mm, C타입)을 4월 20일까지 준비합니다(크롬북 이용 수업 시 소리를 들을 때 사용).",준비물,train
독서록 1편 이상 써오기 — 윤독도서 [하룻밤]을 4월 27일까지 기록합니다.,제출,val
"개인용 이어폰(3.5mm, C타입)을 4월 20일까지 준비합니다.",준비물,test
수학 2단원 평면도형 평가가 4월 23일에 있으므로 학습지 9장 오답 위주로 공부하고 미니북의 개념을 외웁니다.,일정,train
신체검사는 4월 22일(수요일)에 진행됩니다.,일정,train
3학년 전체 체육은 4월 24일(5교시)에 있습니다.,일정,test
2026학년도 3학년 '맞춤형 학업성취도 자율평가'가 4월 9일(목)에 실시됩니다.,일정,train
4월 말에 평가 결과를 개별 통지할 예정이니 각 가정에서도 학생의 강점과 보완이 필요한 부분을 파악하여 주시기 바랍니다.,기타,train
평가 당일 결석한 학생은 별도로 실시하기 어려우므로 가급적 등교합니다.,일정,train
