"text","category"
"검사일에 학생이 등교 후 첫 소변으로 검사를 시행할 수 있도록 안내해 주시고 저학년의 경우 가정에서도 방법을 한 번 더 알려주시기 바랍니다.","기타"
"2026학년도 1학년 1학기 현장체험학습 참가 신청","제출"
"아래 내용을 참고하시어 참가 신청서를 4월 16일 (목)까지 담임 선생님께 제출 부탁드립니다.","제출"
"3. 장소: 해운대문화회관","일정"
"4. 1인당 예상 경비: 약 45,000원- 학교 예산 지원, 학부모 부담 경비 없음","비용"
"소요경비: 전세 버스 차량비 약 29,000원, 보험료 10,000원, 공연 체험 활동비 15,000원","비용"
"5. 준비물: 점심 식사는 학교 급식 이용(도시락 준비 X), 물, 비닐 봉지, 물티슈, 간편 활동복, 운동화","준비물"
"6. 기타: 특이 사항이 있거나 현장체험학습과 관련하여 상담이 필요하신 학부모님은 사전에 담임 선생님과 협의하여 주시기 바랍니다.","기타"
"참석 또는 불참 (사유 : 구체적으로 적기)","제출"
"학생들의 학교 정보나 개인정보, 응답 결과가 공개되지 않음을 꼭 안내해 주세요.","기타"
"내 아이를 학교폭력으로부터 안전하게 보호하고 학교의 건전한 면학분위기 조성을 위해 자녀가 조사에 참여할 수 있도록 적극적으로 독려해 주시기를 부탁드립니다.","건강·안전"
"설문참여하기를 선택합니다.","제출"
"설문조사에 대한 학교폭력 예방교육 영상 시청 후 다음단계를 클릭합니다.","제출"
"5. 설문 응답 시작 - 본인에게 적합한 언어를 선택 후 설문을 시작합니다.","제출"
"이어지는 학교폭력 예방 및 신고안내 영상을 꼭 열람하세요.","기타"
"영상이 끝나면 끝내기 버튼을 클릭하여 설문조사를 종료합니다.","제출"
"2026 해원 합창단 추가 단원 모집 안내","일정"
"해원 합창단 단원 추가 모집 오디션을 아래와 같이 안내하오니 많은 신청 바랍니다.","비용"
"해원 합창단 오디션 신청서","제출"
"학부모 확인: (인)","제출"
"4. 수업료: 방과후학교 계획에 따름","기타"
"5. 신청기간 및 장소: 4월 14일(화) ~ 4월 22일(수) 오전까지, 4층 시청각실 앞","제출"
"6. 오디션 일시: 4월 23일(목), 오후 2시 40분","일정"
"7. 오디션 장소: 영어체험실(4층)","일정"
"8. 오디션 방법: 연주 1곡 준비하여 발표(신청서 제출 시 악보 1부 제출)","제출"
"재량휴업일(5월 4일) 돌봄교실 참여 신청 안내","일정"
"2026학년도 학교교육계획에 의해 5월 4일(월)은 본교 재량휴업일입니다.","일정"
"재량휴업일 돌봄교실 참여를 희망하시는 학부모님께서는 안내 사항을 참고하시어 4월 20일(월)까지 재량휴업일 돌봄교실 참여 수요조사서를 제출해주십시오.","제출"
"2026학년도 재량휴업일(5월 4일) 돌봄교실 참여 수요조사서","일정"
"돌봄교실 참여 시 아래 내용을 작성해 주십시오.","기타"
"1. 운영날짜: 2026년 5월 4일(월)","일정"
"2. 운영대상: 돌봄교실 참여 학생","기타"
"준비물: 개인 점심준비, 수저, 물통 등","준비물"
"수강료 납부 기간: 매월 중순","비용"
"1순 일시: 5.6.(수)~5.8.(금)","일정"
"3순 일시: 4.28.(화)~5.12.(화) 23:59까지 제출","제출"
"공개학반 일시: 2026.5.8.(금) 2교시 09:50 ~ 10:30","일정"
"공개학반 장소: 해당 교실 (담임)","일정"
"공개학반 일시: 2026.5.8.(금) 3교시 10:40 ~ 11:20","일정"
"공개학반 장소: 체육관 (체육전담)","일정"
"2026년 초등 등하교 알림서비스 시범사업 운영 및 신청 안내","제출"
"4. 운영시간: 8:30~16:30 (수요조사 결과에 따라 변동 가능)","일정"
"5. 운영장소: 돌봄교실","일정"
"6. 귀가방법: 보호자 요청에 따라 지도","제출"
"재량휴업일 돌봄교실 참여 여부: 참여 ( ) 미참여 ( )","기타"
"1. 귀가 방법: 보호자 동행 ( ) 대리인 동행(관계: ) 자율 귀가 ( )","건강·안전"
"2026학년도 6학년 1학기 1일형 현장체험학습 신청 안내","제출"
"아래 내용을 참고하여 참가 신청서 작성 후 4월 20일(월)까지 담임선생님께 제출 바랍니다(기한 엄수).","제출"
"1. 일자: 2026. 6. 4.(목), 2026. 6. 5.(금)","일정"
"2. 장소: 롯데월드 / 요트 체험(영도) 및 문화예술 공연 관람(샌드아트 뮤지컬 '한아이')","일정"
"5. 비용: 전액 무료(교육청 초6 현장체험학습비 및 문화예술체험활동 지원금 활용)","비용"
"6. 준비물: 추후 별도 안내","준비물"
"2026학년도 6학년 1학기 1일형 현장체험학습 참가 신청서 원하는 곳에 표하여 4월 20일(월)까지 담임선생님께 제출 바랍니다(기한 엄수).","제출"
"6월 4일(목) 롯데월드 - 08:40~09:20 학생 집합, 출결 및 건강 상태 확인, 사전 안전 교육","건강·안전"
"6월 5일(금) 요트 체험, 문화예술 공연 관람 - 08:30~09:00 학생 집합, 출결 및 건강 상태 확인, 사전 안전 교육","건강·안전"
"아래 내용을 숙지하시어 자녀의 방과후학교 신청 및 수강에 참고 바랍니다.","기타"
"1. 유상 방과후학교 2기 운영 기간 및 수강 신청 기간","기타"
"3. 유상 방과후 프로그램 수강과 관련한 협조 및 주의 사항 본 가정통신문을 숙지하지 않아 생기는 모든 일에 대한 책임은 신청자 본인에게 있습니다.","건강·안전"
"4. 해원 유상 방과후학교 프로그램 장소별, 요일별 시간표","기타"
"방과후학교 수업 시작 5분 전까지 각 학급 교실에서 대기","기타"
"수강 신청 기간 - 기존 강사를 통한 우선 신청: 2026년 4월 24일(금) 20:00 ~ 4월 27일(월) 23:00","제출"
"신규 수강 신청: 2026년 4월 24일(금) 20:00 ~ 4월 27일(월) 23:00","제출"
"수강신청방법: https://school.pen.go.kr/haewon 접속 또는 좌측 QR코드 접속","제출"
"상세 활용 매뉴얼: 학교 홈페이지 방과후 돌봄 방과후 학교 유상 방과후 프로그램 게시글 9번 방과후학교 업무지원시스템 매뉴얼(학생용) 참고","기타"
"SW/3D Printing 프로그램 교재 재료비 변경(기존 월 18,000원 → 월 20,000원)","비용"
"3월(1기), 9월(4기)은 모든 프로그램 선착순 신청","제출"
"2기, 3기, 5기, 6기는 기존 수강생 우선, 나머지 빈자리 선착순 신청","제출"
"2, 3기에는 기존 수강생은 유상 방과후학교 프로그램 강사를 통하여 우선 신청","기타"
"2, 3기 신규 신청은 우선 신청 후 잔여가 있는 경우 온라인으로만 신청","제출"
"3기 수강신청 기간: 2026. 6. 19.(금) 20:00 ~ 6. 22.(월) 23:00","제출"
"2026학년도 방과후학교 여름방학 일정: 2026. 7. 22. ~ 2026. 7. 28.","일정"
"초3 방과후학교 이용권 - 2026학년도부터 초3 무상 학습형 늘봄은 운영되지 않고, 방과후학교 이용권을 지급하여 운영됩니다.","기타"
"지원 금액: 연간 총 50만 원 지원(1학기: 25만 원, 2학기: 25만 원)","비용"
"수강 취소에 따른 환불 규정: 만약 수강을 취소할 경우에는 합당한 사유(치료를 위한 장기 결석-진료 확인서 제출, 전학)가 있어야 취소가 가능하오니 신중하게 선택하시기 바랍니다.","제출"
"유상 방과후 프로그램 신청 및 설문조사는 온라인으로만 진행됨(강사를 통한 추가 접수 불가)","제출"
"모든 강좌는 온라인 신청 정원 내 선착순 접수함(강사를 통한 추가 접수 불가)","제출"
"매월 첫 주(1~7일) 방과후학교 업무지원시스템 상 대기자로 등록되어져 있는 학생 순서대로 중도 추가 가능.","기타"
"재료비/교재비 별도 강좌의 경우, 상세 내용은 방과후학교 업무지원시스템에서 확인 가능","기타"
"통신문에 안내된 내용 이외의 사안 발생 시 본교 방과후 돌봄 운영계획 및 부산광역시교육청 초등 방과후 돌봄 업무처리 지침에 따름.","기타"
"늘봄실무사 유상 방과후프로그램 관련 문의, 비밀번호 분실, 수강신청 일정 문의: 051-740-9984","기타"
"돌봄전담사 초1,2 무상 방과후 프로그램 관련 문의, 무상 수강신청 일정 문의: 051-740-9919","기타"
"행정실 주무관 스쿨뱅킹, 신용카드 납부 방법 문의: 051-740-9906","비용"
"부산광역시교육청학교행정지원본부 교육활동지원팀 담당자 방과후학교업무지원시스템 사용법 및 수강, 비밀번호 분실, 수강신청 일정 등 문의: 051-602-1950","기타"
"해원 어린이들이 맑은 하늘 아래 신나게 자신의 기량을 발휘할 수 있는 행사가 될 수 있도록 가정에서도 격려 부탁드립니다.","비용"
"행사 일시: 2025. 4. 27. (월) ~ 4. 28. (화) 08:50 ~ 13:30 (일과시간 조정 없음)","일정"
"장소: 본교 운동장(우천 등 기상상황에 따라 강당으로 변경 가능)","일정"
"복장: 티셔츠(청군: 파랑, 검정 등 어두운 색 티셔츠, 백군: 흰색 계열의 밝은 티셔츠), 체육복 등 체육활동에 적합한 바지, 운동화","준비물"
"학교보건법에 의거 1,4학년 학생들은 학교에서 지정한 병원에 개별방문(보호자 동반) 하여 건강검사(건강검진과 구강검진)를 받아야 합니다.","건강·안전"
"학교운영위원회 심의를 거쳐 아래 기관을 선정하였으니 자녀의 건강을 위하여 검진받을 수 있도록 협조해 주시기 바랍니다.","건강·안전"
"1. 검진비용: 무료 (학교예산에서 지출)","비용"
"2) 4학년 중 비만 학생은 혈액검사가 있으므로 검사 8시간 전부터 금식을 하지 않으면 재방문하는 번거로움이 있습니다. (비만 학생은 검사 8시간 전부터 식사는 물론 껌, 주스도 먹지 않습니다.)","건강·안전"
"5. 결과통보를 받은 후 추후 관리 정상 소견일 경우 - 참고하셔서 계속 건강을 유지해 주세요.","건강·안전"
"이상 소견일 경우 - 빠른 시일 내에 원하는 병원에 가셔서 정밀검진을 받아주십시오. (정밀 검진 비용은 아동 개인 부담)","건강·안전"
"주의사항 방문 전 예약 일정을 확인하여 주시기 바랍니다.","건강·안전"
"4학년 비만 학생 금식 실시 (8시간 이상) : 비만이 예상되는 학생은 금식하고 가도록 합니다.: 검진 전날 저녁 식후 9시부터 물을 포함하여 모든 음식물 금식","건강·안전"
"학교운영위원회 심의를 거쳐 검진 기관 3개를 선정하였으니 자녀의 건강을 위하여 검진받을 수 있도록 협조해 주시기 바랍니다.","건강·안전"
"1. 검진 비용: 무료 (학교 예산에서 지출) 단, 검진 이상자의 치료비는 본인 부담","비용"
"3. 검진 방법: 학부모와 학생이 검진 기관에 방문하여 실시(아래 치과병원 중 한 곳 선택), 미리 전화하여 예약 후 검진","제출"
"6. 검진 기관: 아래 3곳 중 1곳을 선정하여 구강검진을 실시하여 주시기 바랍니다.","기타"
"검진 기관 방문 전 전화로 예약하여 주시기 바랍니다.","기타"
"타 치과에서 검진 시 구강검진결과통보서를 보건실로 제출해 주시기 바랍니다.","제출"
"1. 체험일자: 2026. 5월, 7월, 9월 둘째 주 토요일/11월 넷째 주 토요일 해당 월 홈페이지 확인","일정"
"2. 체험장소: 해운대메이커교육체험센터(해운대구 아랫반송로40번길 37-18)","일정"
"5. 신청방법: 해당 월마다 개별 신청","제출"
"사전프로그램 신청: 부산광역시교육청 통합예약포털 - 해운대메이커교육체험센터 신청","제출"
"1. 체험일시: 2026. 5. 9.(토) 10:00~16:00","일정"
"2. 사전 프로그램 신청 기간: 2026. 4. 28.(화) 9:00 ~ 5. 1.(금) 17:00, 추첨 선정","제출"
"공모전을 통해 학생들이 IB 학습자상에 대한 이해를 높이고 탐구 활동에 대한 실천 의지를 기르게 되길 바랍니다.","기타"
"자세한 내용은 아래를 참고하십시오.","기타"
"교통안전교육: 전동 킥보드 금지, 원동기 면허(만 16세 이상) 필수(위반 시 범칙금), 안전모 미착용 및 정원초과 범칙금 부과, 13세 미만 어린이 운전 시 보호자 범칙금","건강·안전"
"상시 자녀 교통안전 교육 실시: 횡단보도, 교통신호 준수하기, 걸을 때 휴대폰 이어폰 사용하지 않기(위험 상황에 대처하기 어려움), 차량 탑승 시 반드시 안전띠 착용","건강·안전"
"우리 아이들이 '다름'을 인정하고 평화롭게 소통하는 인재로 자라날 수 있도록 가정에서도 함께 마음을 모아 지도해 주시기 바랍니다.","기타"
"1) 자녀에게 심리적으로 안정감을 주며 차분히 대화하세요.","기타"
"2) 자녀의 말에 공감과 지지를 표현해 주세요.","기타"
"3) 자녀가 말하는 학교폭력 사실에 대해 경청하며 아이가 원하는 것을 파악하세요.","기타"
"4) 먼저 담임선생님께 도움을 요청하세요.","기타"
"1) 가해 사실을 확인하세요.","기타"
"3) 잘못을 인정하세요.","기타"
"6) 진심으로 사과하세요.","기타"
"담임 교사를 믿고 협조해 주시고, 담임 교사 조치 후 자녀의 상황을 유심히 관찰해 주세요.","기타"
"학생들의 학교생활 모습을 살펴보시고 칭찬과 격려의 시간이 되시길 바랍니다.","일정"
"장소가 협소한 관계로 학생 1인당 학부모(보호자) 1인만 참석 바랍니다.","일정"
"자녀 학반에 따른 참관 일정 및 장소를 미리 확인하시기 바랍니다.","일정"
"교육 활동에 따른 안전 사항에 따라 교내 차량 진입이 어려우니 대중교통 또는 주변 공용주차장을 활용하여 주시기 바랍니다.","건강·안전"
"2026학년도 초등학교 3~6학년 학생 중 희망자(단, 특수교육대상자는 초등 안심알리미서비스 지원으로 제외)에게 이용료 전액을 무료로 제공하는 서비스로, 학생들의 등하교 안전을 강화하고 사고 없는 학교를 만들기 위한 ""초등 등 하교 알림서비스"" 신청을 재차 안내하오니 적극 신청하여 주시기 바랍니다.","건강·안전"
"배부된 단말기는 등록 후 학생 가방 외부에 잘 보이도록 부착해 주세요.","기타"
"카드형단말기를 분실한 학생은 담임선생님께 카드형 단말기 요청 후 카드를 꼭 다시 등록해 주세요.","기타"
"학부모님 협조 사항: 반드시 설치 요망 신청 희망 시 ""키즈콜2-학교"" 앱 설치를 부탁드립니다.","기타"
"학부모 의견 제출 기간: 2026.4.24.(금) ~ 4.30.(금)","제출"
"개정안 확인 방법: 학교 홈페이지 알림마당 가정통신문에서 확인","제출"
"의견 제출 방법: 우측 QR코드를 통해 접속하여 의견 제출 (https://forms.gle/7Tk6kkK3NJsvt3kb7)","제출"
"참가비: 1인당 3,000원","비용"
"개인 준비물: 간단한 필기도구","준비물"
"접수 기간: 2026. 4. 27.(월) ~ 2026. 5. 5.(화) 20:00","일정"
"접수 방법: 홈페이지(http://www.jsca.or.kr)에서 회원가입 후 로그인하여 제주과학문화거점센터 클릭 후 신청","제출"
"일시/장소: 2026. 5. 9.(토) 10:00 ~ 16:00 / 해군 기동함대사령부 연병장","일정"
"사전접수: 2026. 5. 7.(목)까지 참가신청 메일 전송(선착순 100명 기념품 제공)","제출"
"접수양식: 학교(학년/반), 이름, 보호자 성명 및 연락처","제출"
"준비물: 개인 미술도구(수채화, 색연필 등), 돗자리, 기타 필요물품","준비물"
"별도 식사는 제공되지 않으니, 필요 시 도시락 등을 지참해 주시기 바랍니다.","준비물"
"행사일시: 2026. 5. 2.(토) 09:50~16:00","일정"
"장소: 제주학생문화원","일정"
"운영 시간: 10:30~16:00 (1회당 30분 단위로 운영)","일정"
"주차 통제: 행사 준비 및 운영을 위하여 4. 30(목) 18:00 ~ 5. 2.(토) 18:00 제주도서관, 제주학생문화원 내 주차를 통제하오니 적극적인 협조 부탁 드립니다.","비용"
"토요영어체험교실 수강신청: 2026. 4. 21.(화) 10:00 ~ 4. 24.(금) 24:00","제출"
"토요영어체험교실 운영일시: 2026. 5. 9.(토) / 10:00 ~ 12:00","일정"
"토요다문화이야기 수강신청: 2026. 4. 21.(화) 10:00 ~ 4. 24.(금) 24:00","제출"
"토요다문화이야기 운영일시: 2026. 5. 23.(토) / 13:00 ~ 15:00","일정"
"신청방법: 제주특별자치도교육청 통합예약시스템 홈페이지 상단 메뉴에서 '교육/ 강좌' '서귀포외국문화학습관' 클릭","제출"
"우측 상단 '로그인'에서 일반사용자 로그인(본인인증) 후 게시물에서 신청","제출"
"일시: 2026. 5. 9.(토) 13:30 ~ 17:00","일정"
"장소: 제주수학체험관, 제주SW AI체험관(제주시 전농로 88)","일정"
"신청 방법: 온라인으로 직접 신청 (2026. 4. 22.(수) 16:00 ~ 4. 28.(화) 16:00)","제출"
"원하는 프로그램, 회차(1~6회)를 선택하여 신청","제출"
"신청 시 대상 학년, 참여 프로그램명과 회차 확인 후 신청","제출"
"학교 홈페이지 가정통신문에 첨부된 '학생자치활동 등에 관한 규정' 개정안에 대해 읽어보시고 의견이 있으실 경우 아래의 링크를 통해 제출해 주시기 바랍니다.","제출"
"기존에 계획하였던 4학년 체험학습일 4.23.(목)에 비 예고가 있어 운동장 사용의 어려움이 예상되며 학생들의 보다 건강하고 안전한 활동을 위하여 4학년 명랑운동회 일정을 4월 27일 월요일로 변경하오니 일정 참고 부탁드립니다.","일정"
"이에 참여하고 싶은 학생들은 하단의 설문에 참여의사를 4월 24일까지 회신하여 주시기 바랍니다.","제출"
"2026 교육복지우선지원사업: 축구교실 참여신청서","제출"
"국제아동안전기구인 '세이프키즈' 한국법인에서도 자동차 탑승 안전 수칙의 핵심으로""13세 이하 어린이는 반드시 자동차 뒷좌석에 탑승하도록 하세요.""라고 강력히 권고하고 있습니다.","건강·안전"
"법적 단속 여부를 떠나, 우리 자녀의 소중한 생명을 지키기 위해, 가정에서도 보호자 및 운전자께서는 어린 자녀가 뒷좌석에 앉고 안전띠를 착용하는 습관을 자연스럽게 실천할 수 있도록 반복적으로 지도해 주시기 바랍니다.","건강·안전"
"13세 이하 어린이는 반드시 자동차 뒷좌석에 타도록 하세요","기타"
"2. 일시: 2026년 4월 23일(1,2반), 24일(3,4반), 27일(5,6반) 09:00~12:00","일정"
"3. 장소: 안락서원 및 충렬사 일대","일정"
"6. 준비물: 편안한 복장, 운동화, 물, 멀미약(멀미를 하는 학생 사전 준비) 등","준비물"
"7. 경비: 무료(체험비 및 전세 버스비 교육청 지원)","비용"
"2) 다만, 보건교사의 출장 등 부재 시 학생 건강 및 학습권 보호, 학부모 불편 최소화 등 지속적으로 제기되어 온 학교현장 어려움의 최소화를 위해, 필요한 학교에서는 학교장의 관리 감독 범위(학교 보건계획, 의약품 보관장소, 취급 주의사항 등)내에서 학부모 동의절차 등을 거쳐 제한적으로 취급 가능","건강·안전"
"학부모님 가정에 행복이 가득하시길 기원합니다. 2026학년도 학교 교육계획에 따라 5월 4일(월요일)은 본교 재량휴업일로 학생들은 학교에 등교하지 않습니다.","일정"
"학부모님께서는 아래 내용을 참고하셔서 4월 17일(금)까지 담임 선생님께 제출해 주시길 바랍니다.","제출"
"1. 운영 일시: 2026. 5. 4. (월), 09:00~12:00","일정"
"3. 준비물: 개인 책과 문제집, 필기구, 물통 당일 급식을 실시하지 않으며, 방과후학교(유 무상 방과후 프로그램) 운영하지 않습니다.","준비물"
"4. 대상 학생: 1-6학년 학생 중 등교 희망 학생 1-3학년 돌봄교실 참여 학생은 별도 조사하며, 4-6학년과 1-3학년 중 돌봄교실에 참여하지 않는 학생만 응답해 주십시오.","기타"
"5. 운영 장소: 추후 별도 안내 단, 수요 조사 결과 참여 희망 학생이 3명 이하일 경우 운영하지 않음.","일정"
"아래의 활동 내용을 참고하시어 함께 나누고 실천하는 봉사의 기쁨에 동참하실 학부모님께서는 신청해 주시기 바랍니다.","기타"
"신청방법: 버들초등학교 학부모밴드 신청 ttps://band.us/band/84301954/post/457","제출"
"운영기간: 2026. 6. 1.(월)~2027. 2. 26.(금) / 방학 기간 포함","일정"
"운영시간: 매주 수요일, 목요일 16:00~17:30","일정"
"운영장소: 태장체육단지 인라인스케이트장(학부모 개인 인솔)","일정"
"참가비: 전액 무료","비용"
"준비물: (개인 준비) 인라인스케이트, 헬멧, 손 팔꿈치 무릎 보호대, 개인 물","준비물"
"신청기간: 2026. 5. 4.(월)~5. 22.(금) / 상시 접수 가능","제출"
"신청방법: 신청서 및 동의서 제출(메일 전송: hnmaa@naver.com)","제출"
"2026학년도 봉대초등학교 롤러 교실 참가 신청서","제출"
"4월 20일(월) 오전 9시 ~ 5월 15일(금) 오후 5시에 기본신청서를 접수합니다.","제출"
"등하교 시 학생들의 안전을 위해 자전거, 킥보드 이용을 가급적 자제해주시고, 부득이한 사유로 자전거, 킥보드 등을 이용할 때는 아래의 안전 수칙을 준수할 수 있도록 가정에서도 지도해주시기 바랍니다.","건강·안전"
"우리 학교는 학생들의 안전한 학교생활을 위하여 일과시간 중 학부모, 외부인의 출입을 자제하고 있으니 적극 협조하여 주시기 바랍니다.","건강·안전"
"2026학년도 학부모 공개수업 안내(버들초 수업의 향기)","일정"
"바쁘신 일정 중에도 부디 참석하시어 우리 아이들의 밝은 미래를 위해 따뜻한 격려와 지지를 보내주시기 바랍니다.","기타"
"교실 내 혼잡을 방지하기 위해 가급적 한 세대(가족)당 최대 1분씩만 입장(2명 이상의 경우 순환참관)을 부탁드립니다.","기타"
"학교 주차 공간이 없으므로 도보로 방문해주실 것을 부탁드립니다.","기타"
"2026학년도 학부모 공개수업 참관 신청서를 4월 24일(금)까지 담임선생님께 제출해 주세요.","제출"
"제주시 보건소에서는 지역 주민의 건강 증진을 위하여 모바일 앱 ""워크온""을 활용한 비대면 걷기 챌린지 ""꼬닥꼬닥 걷당보민"" 사업을 운영하오니, 학생과 학부모님의 적극적인 참여를 부탁드립니다.","건강·안전"
"참여방법: 워크온 앱 설치 가입 거주지역 기준 보건소 커뮤니티 가입 챌린지 참여","제출"
"바쁘시겠지만 참석하시어 학교급식 운영 상황도 살펴보시고, 학교와 가정 간의 교육적 연계가 이루어질 수 있는 유익한 시간을 가져 보시기 바랍니다.","준비물"
"참가를 희망하시는 학부모님께서는 아래 URL 또는 QR코드로 접속하시어 5월 6일(수)까지 신청 하여 주시기 바랍니다.","제출"
"행사의 원활한 운영 및 예산 범위를 고려하여 참가 인원은 선착순 50명으로 제한되오니, 모집 인원 충원 시 조기 마감될 수 있음을 양해하여 주시기 바랍니다.","비용"
"참가 확정 여부는 신청 마감 후 문자로 안내드릴 예정입니다.","제출"
"일시: 2026. 5. 27.(수), 10:40~11:30","일정"
"장소: 삼성초등학교 식생활교육관(급식실)","일정"
"온라인 신청 기간: 2026. 4. 30.(목) 09:00 ~ 2026. 5. 6.(수) 09:00","제출"
"광주광역시교육청창의융합교육원 수학체험센터에서 초등학생을 대상으로 다양한 수학 체험의 기회를 제공하기 위하여 다음과 같이 가족과 함께하는 수학 체험 교실을 운영하고 있으니 관심 있는 학생들의 적극적인 신청과 참여 바랍니다.","비용"
"3. 수업 장소: 광주광역시교육청창의융합교육원 체험관 4층 광주수학체험센터","일정"
"한 가족에 초1과 초5가 있다면 초1,2반 프로그램과 초5,6프로그램 중 하나만 선택하여 신청","제출"
"6. 신청 방법: 광주광역시교육청창의융합교육원 누리집 회원가입 후 개별 신청","제출"
"신청 기간 내 조기 마감될 수 있으며, 취소 인원 발생 시 대기 순번에 따라 개별 연락드립니다.","제출"
"보호자 계정으로 로그인하여 신청 가능하며, 학생성명(자녀) 칸에 신청자를 포함한 참여하는 가족의 이름(예: 홍일삼, 홍이삼, 홍삼삼)을 모두 기재해주시기 바랍니다.","기타"
"취소 사유 발생 시 운영 전날까지 누리집에서 직접 취소 또는 수학체험센터로 미리 연락해 주시기 바랍니다.","기타"
"안내사항 - 등록은 확정 문자를 받은 가족이 프로그램 운영 당일 오전 9:20까지 수학체험센터 4층에서 등록합니다.","제출"
"일회용품을 제공하지 않으므로 개인 물 또는 물병(컵) 지참하여 주시기 바랍니다.","준비물"
"9월, 11월 프로그램은 별도의 가정통신문을 발송하지 않으므로 광주광역시교육청창의융합교육원 누리집에서 확인 후 신청해주시기 바랍니다.","비용"
"수학체험교실 일시: 2026. 5. 9.(토) 09:30~11:50","일정"
"수학체험교실 신청기간: 2026. 4. 28.(화)19:00 ~4. 30.(목) 12:00","제출"
"9월 프로그램 일시: 2026. 9. 12.(토) 09:30~11:50","일정"
"9월 프로그램 신청기간: 2026. 9. 1.(화)19:00~ 9. 3.(목) 12:00","제출"
"11월 프로그램 일시: 2026. 11. 14.(토) 09:30~11:50","일정"
"11월 프로그램 신청기간: 2026. 11. 3.(화)19:00 ~11. 5.(목) 12:00","제출"
"안전사고 예방을 위해 체험관동 1, 2, 3층으로의 출입을 엄격히 금지하오니 학생들의 안전에 각별히 유의해 주시기 바랍니다.","건강·안전"
"원활한 체험 진행을 위해 학생만 엘레베이터 탑승하며 안전사고 예방을 위해 안내해주시는 선생님께서 함께 탑승합니다.","건강·안전"
"이번 교육이 자녀의 심리 정서적 신호를 세심하게 살피고, 자녀와 더욱 따뜻하게 소통하며 성장의 힘이 되어 주는 뜻깊은 시간이 되시기를 바랍니다.","일정"
"학부모님들의 많은 관심과 적극적인 참여를 부탁드리며, 희망하시는 분들께서는 아래 안내 를 참고하시어 신청하여 주시기 바랍니다.","기타"
"교육 일시: 2026. 5. 12.(화) 14:00 ~ 16:00","일정"
"교육 장소: 광주광역시교육청시민협치진흥원 소강당","일정"
"신청 기간: 2026. 4. 28.(화) ~ 5. 8.(금) 선착순 마감","제출"
"신청 방법: QR코드 또는 신청링크에 접속하여 학부모가 직접 신청","제출"
"신청 링크: https://naver.me/551nHw3x","제출"
"아래 건강검진 세부 내용 및 주의 사항을 숙지하신 후 구강검진이 원활히 실시될 수 있도록 학부모님들의 적극적인 협조를 요청 드립니다.","건강·안전"
"검진방법: 학부모와 학생이 원하는 검진기관(치과)에 직접 방문하여 검진","제출"
"검진기관 사정에 따라 예약이 조기에 마감될 수 있으니 방문코자 하는 검진기관에 사전 문의하여 반드시 예약 후 검진하시기 바랍니다.","기타"
"제주융합과학연구원에서는 도내 초 중학생을 대상으로 ""5월 수학 SW체험의 날""을 아래와 같이 운영하니, 관심 있는 학생은 신청 바랍니다.","기타"
"부득이한 사정으로 신청 기간 이후 취소하는 경우 5월 8일까지 반드시 연락 요망","제출"
